Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
Abalone,N/A,2706337,21.2,6.12,7.46,177.0,0.0,0.0,39.0,3.97,60.0,236.0,310.0,574.0,1.02,0.243,55.6,2.0,5.95,0.0,2.0,0.201,0.118,1.77,0.168,5.0,0.77,33.8,106.0,0.877,0.061,2.33,2.12
"Adobo, with noodles",N/A,2708809,16.9,7.66,8.14,172.0,0.03,0.4,15.0,0.99,18.0,149.0,200.0,510.0,2.39,0.085,23.1,4.0,0.2,0.3,0.0,0.192,0.204,3.06,0.216,3.0,0.43,0.0,72.0,2.48,0.0,3.47,0.973
"Adobo, with rice",N/A,2708958,17.7,7.94,8.86,181.0,0.03,0.2,18.0,1.34,21.0,161.0,216.0,522.0,2.54,0.096,24.6,4.0,0.21,0.4,0.0,0.242,0.213,3.59,0.25,21.0,0.44,0.0,75.0,2.58,0.0,3.61,1.02
Agave liquid sweetener,N/A,2710282,0.09,0.45,76.4,310.0,68.0,0.2,1.0,0.09,1.0,1.0,4.0,4.0,0.01,0.009,1.7,8.0,0.98,0.0,17.0,0.122,0.165,0.689,0.234,30.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0
Alcoholic coffee drink,N/A,2710681,0.21,2.38,2.1,88.0,2.04,0.0,5.0,0.02,2.0,7.0,40.0,3.0,0.04,0.007,0.2,22.0,0.07,0.1,0.0,0.013,0.064,0.135,0.003,2.0,0.0,0.3,7.0,1.36,0.001,0.497,0.105
Alcoholic malt beverage,N/A,2710620,0.9,0.0,0.27,58.0,0.0,0.0,8.0,0.03,12.0,32.0,62.0,4.0,0.01,0.008,0.6,0.0,0.0,0.0,0.0,0.03,0.09,1.1,0.09,18.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
"Alcoholic malt beverage, sweetened",N/A,2710619,0.0,0.0,10.1,68.0,9.77,0.0,4.0,0.03,4.0,7.0,27.0,5.0,0.01,0.008,0.3,0.0,0.02,0.0,2.8,0.006,0.01,0.225,0.022,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
"Alfalfa sprouts, raw",N/A,2709765,3.99,0.69,2.1,23.0,0.2,1.9,32.0,0.96,27.0,70.0,79.0,6.0,0.92,0.157,0.6,8.0,0.02,0.0,8.2,0.076,0.126,0.481,0.034,36.0,0.0,30.5,0.0,0.069,0.0,0.056,0.409
Alfredo sauce,N/A,2705809,2.12,15.0,1.77,150.0,0.9,0.0,66.0,0.02,4.0,50.0,39.0,552.0,0.29,0.008,2.7,137.0,0.3,0.5,0.2,0.011,0.074,0.022,0.013,2.0,0.07,1.3,44.0,8.52,0.004,3.12,0.622
Alfredo sauce with added vegetables,N/A,2705810,2.07,11.5,2.65,122.0,1.44,0.4,53.0,0.11,7.0,52.0,102.0,423.0,0.31,0.051,3.8,113.0,0.34,0.4,10.7,0.022,0.109,0.463,0.05,8.0,0.06,2.0,33.0,6.53,0.003,2.39,0.51
Alfredo sauce with meat,N/A,2705811,6.52,15.3,1.44,171.0,0.73,0.0,58.0,0.48,7.0,76.0,89.0,520.0,1.4,0.022,6.2,111.0,0.27,0.4,0.1,0.018,0.093,0.969,0.079,3.0,0.56,1.4,52.0,8.14,0.003,3.94,0.598
Alfredo sauce with meat and added vegetables,N/A,2705812,6.47,12.5,2.15,148.0,1.17,0.3,48.0,0.55,9.0,78.0,140.0,415.0,1.42,0.056,7.1,93.0,0.3,0.3,8.7,0.027,0.121,1.33,0.109,9.0,0.55,1.9,43.0,6.52,0.002,3.35,0.507
Alfredo sauce with poultry,N/A,2705813,6.87,13.6,1.44,156.0,0.73,0.0,58.0,0.21,8.0,88.0,87.0,518.0,0.67,0.026,7.0,114.0,0.29,0.4,0.1,0.025,0.097,1.67,0.086,3.0,0.26,1.1,53.0,7.28,0.004,3.03,0.876
Alfredo sauce with poultry and added vegetables,N/A,2705814,6.83,10.8,2.15,133.0,1.17,0.3,47.0,0.28,11.0,89.0,138.0,413.0,0.68,0.061,7.9,95.0,0.32,0.3,8.7,0.034,0.125,2.03,0.116,8.0,0.25,1.6,45.0,5.67,0.003,2.43,0.785
Alfredo sauce with seafood,N/A,2705815,5.91,12.5,1.99,145.0,0.73,0.0,73.0,0.47,10.0,89.0,98.0,541.0,0.5,0.039,11.4,125.0,0.45,0.4,0.5,0.012,0.068,0.124,0.013,3.0,1.87,1.1,64.0,6.97,0.037,2.57,0.599
Alfredo sauce with seafood and added vegetables,N/A,2705816,5.87,9.66,2.7,122.0,1.17,0.3,63.0,0.54,12.0,91.0,150.0,436.0,0.51,0.074,12.3,106.0,0.48,0.3,9.0,0.021,0.096,0.483,0.043,8.0,1.86,1.6,55.0,5.36,0.036,1.97,0.508
Almond butter,N/A,2707533,20.7,52.7,21.1,641.0,4.4,9.6,263.0,4.08,266.0,504.0,741.0,232.0,3.16,0.969,0.8,0.0,16.6,0.0,0.0,0.094,0.933,3.89,0.083,42.0,0.0,0.0,0.0,4.22,0.0,34.5,12.5
"Almond butter and jelly sandwich, on wheat bread",N/A,2707565,12.0,17.2,42.9,372.0,13.2,5.8,163.0,2.89,107.0,234.0,322.0,307.0,1.64,0.381,15.1,0.0,4.92,0.0,0.2,0.24,0.386,3.73,0.113,51.0,0.0,3.0,0.0,1.59,0.001,10.2,4.42
"Almond butter and jelly sandwich, on white bread",N/A,2707564,11.0,17.0,44.9,374.0,13.3,4.2,189.0,3.0,92.0,206.0,284.0,313.0,1.38,0.345,12.7,0.0,4.85,0.0,0.2,0.299,0.4,3.67,0.077,72.0,0.0,0.2,0.0,1.65,0.001,10.2,4.58
"Almond butter sandwich, on wheat bread",N/A,2707563,14.6,20.9,37.0,395.0,4.93,6.9,197.0,3.48,130.0,284.0,381.0,368.0,1.98,0.462,18.3,0.0,5.99,0.0,0.1,0.292,0.464,4.54,0.133,62.0,0.0,3.6,0.0,1.94,0.001,12.4,5.38
"Almond butter sandwich, on white bread",N/A,2707562,13.3,20.7,39.4,397.0,5.01,4.9,229.0,3.61,110.0,249.0,334.0,374.0,1.67,0.418,15.4,0.0,5.91,0.0,0.0,0.363,0.481,4.46,0.089,87.0,0.0,0.1,0.0,2.0,0.001,12.5,5.58
"Almond butter, lower sodium",N/A,2707534,20.8,53.0,21.2,645.0,4.43,9.7,264.0,4.11,268.0,507.0,745.0,1.0,3.18,0.975,0.8,0.0,16.7,0.0,0.0,0.095,0.939,3.91,0.084,42.0,0.0,0.0,0.0,4.25,0.0,34.7,12.6
