calorie_cap,total_calories,total_satiety,status,num_foods
1800,1800.0,130.44949176856935,Optimal,15
1900,1900.0000000000064,138.94025077741722,Optimal,16
2000,2000.0,147.56544640136235,Optimal,14
2100,2100.0000000000005,155.99776946484212,Optimal,15
2200,2200.000000000002,164.7093792780621,Optimal,17
2300,2300.0000000000005,173.3006579621807,Optimal,16
2400,2399.9999999999995,181.48143789054336,Optimal,17
2500,2500.0,188.7502601625925,Optimal,16
2600,2600.0,195.40424884760816,Optimal,16
2700,2700.0,201.48663796168307,Optimal,19
2800,2800.0,207.8600951844348,Optimal,19
2900,2900.000000000003,214.14619021739358,Optimal,18
3000,3000.0000000001955,219.94650861762074,Optimal,18
3100,3099.9999999999995,224.7049230984799,Optimal,18
3200,3199.9999999999995,229.77569752724486,Optimal,20
3300,3299.99999999999,233.71060972592525,Optimal,19
3400,3400.0,238.70962616783103,Optimal,18
